Service: hwrt, mapping: strict-0
Found 341 / 351 classes
Macro-scores: 291 classes with samples number >= 10
Recall scores:

| Class               |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \subsetneq          |        24 |  83.3 % |  95.8 % | 100.0 % | 100.0 % | 100.0 % |
| \uparrow            |        24 |  95.8 % |  95.8 % | 100.0 % | 100.0 % | 100.0 % |
| \ltimes             |        23 |  78.3 % |  91.3 % |  91.3 % |  95.7 % |  95.7 % |
| \mars               |        23 |  52.2 % |  95.7 % |  95.7 % |  95.7 % |  95.7 % |
| \mathcal{M}         |        23 |  82.6 % |  87.0 % |  87.0 % |  91.3 % |  91.3 % |
| \mathfrak{S}        |        23 |  73.9 % |  87.0 % |  87.0 % |  87.0 % |  87.0 % |
| A                   |        22 |  77.3 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \because            |        22 |  90.9 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| \boxtimes           |        22 |  72.7 % |  81.8 % |  86.4 % |  86.4 % |  86.4 % |
| \dashv              |        22 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{C}         |        22 |  68.2 % |  81.8 % |  81.8 % |  86.4 % |  86.4 % |
| \rightharpoonup     |        22 |  90.9 % |  90.9 % |  95.5 % |  95.5 % |  95.5 % |
| \varrho             |        22 |  59.1 % |  77.3 % |  81.8 % |  86.4 % |  86.4 % |
| \downarrow          |        21 |  81.0 % |  90.5 % |  95.2 % |  95.2 % |  95.2 % |
| \leftarrow          |        21 |  85.7 % |  90.5 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{D}         |        21 |  61.9 % |  81.0 % |  81.0 % |  85.7 % |  85.7 % |
| \mathds{E}          |        21 |  85.7 % |  85.7 % |  85.7 % |  85.7 % |  85.7 % |
| \mathscr{H}         |        21 |  71.4 % |  90.5 % |  95.2 % |  95.2 % |  95.2 % |
| \nearrow            |        21 |  90.5 % |  95.2 % |  95.2 % | 100.0 % | 100.0 % |
| \rightleftharpoons  |        21 |  90.5 % |  90.5 % |  90.5 % |  90.5 % |  90.5 % |
| \succeq             |        21 |  61.9 % |  66.7 % |  71.4 % |  76.2 % |  76.2 % |
| \Re                 |        20 |  45.0 % |  50.0 % |  60.0 % |  65.0 % |  70.0 % |
| \diameter           |        20 |  20.0 % |  35.0 % |  40.0 % |  45.0 % |  65.0 % |
| \doteq              |        20 |  95.0 % |  95.0 % |  95.0 % |  95.0 % |  95.0 % |
| \female             |        20 |  80.0 % |  85.0 % |  85.0 % |  85.0 % |  85.0 % |
| \mathds{P}          |        20 |  75.0 % |  85.0 % |  85.0 % |  85.0 % |  90.0 % |
| \mathscr{S}         |        20 |  60.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \nsubseteq          |        20 |  75.0 % |  80.0 % |  80.0 % |  80.0 % |  80.0 % |
| \longmapsto         |        19 |   0.0 % |  84.2 % |  84.2 % |  84.2 % |  84.2 % |
| \mathcal{C}         |        19 |  42.1 % |  68.4 % |  68.4 % |  68.4 % |  68.4 % |
| \mathcal{S}         |        19 |  47.4 % |  89.5 % |  94.7 % |  94.7 % |  94.7 % |
| \mathcal{T}         |        19 |  63.2 % |  73.7 % |  73.7 % |  73.7 % |  73.7 % |
| \mathscr{A}         |        19 |  78.9 % |  94.7 % |  94.7 % |  94.7 % |  94.7 % |
| \nrightarrow        |        19 |  84.2 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \preccurlyeq        |        19 |  52.6 % |  57.9 % |  68.4 % |  68.4 % |  68.4 % |
| \rightsquigarrow    |        19 |  47.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \uplus              |        19 |  94.7 % |  94.7 % |  94.7 % |  94.7 % |  94.7 % |
| \backsim            |        18 |  72.2 % |  77.8 % |  77.8 % |  83.3 % |  83.3 % |
| \curvearrowright    |        18 |  94.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rceil              |        18 |  94.4 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \rrbracket          |        18 |  94.4 % |  94.4 % |  94.4 % |  94.4 % |  94.4 % |
| \Downarrow          |        17 |  82.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \circlearrowleft    |        17 |  70.6 % |  82.4 % |  94.1 % |  94.1 % |  94.1 % |
| \mathcal{R}         |        17 |  58.8 % |  70.6 % |  76.5 % |  94.1 % |  94.1 % |
| \mathcal{Z}         |        17 |  70.6 % |  76.5 % |  82.4 % |  82.4 % |  82.4 % |
| \sun                |        17 |  82.4 % |  88.2 % |  88.2 % |  88.2 % |  88.2 % |
| \trianglelefteq     |        17 |  94.1 % |  94.1 % | 100.0 % | 100.0 % | 100.0 % |
| \asymp              |        16 |  81.2 % |  93.8 % |  93.8 % |  93.8 % |  93.8 % |
| \iota               |        16 |  75.0 % |  93.8 % |  93.8 % |  93.8 % |  93.8 % |
| \lozenge            |        16 |  68.8 % |  87.5 % |  87.5 % |  87.5 % |  93.8 % |
| \mathcal{B}         |        16 |  68.8 % |  68.8 % |  75.0 % |  75.0 % |  75.0 % |
| \mathfrak{A}        |        16 |  37.5 % |  56.2 % |  62.5 % |  68.8 % |  68.8 % |
| \rangle             |        16 |  75.0 % |  81.2 % |  81.2 % |  81.2 % |  81.2 % |
| \triangleright      |        16 |  81.2 % |  81.2 % |  87.5 % |  87.5 % |  87.5 % |
| \AE                 |        15 |  60.0 % |  73.3 % |  73.3 % |  73.3 % |  73.3 % |
| \Leftarrow          |        15 |  86.7 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \circlearrowright   |        15 |  73.3 % |  86.7 % |  86.7 % |  86.7 % |  86.7 % |
| \dots               |        15 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \fullmoon           |        15 |   6.7 % |  26.7 % |  60.0 % |  66.7 % |  66.7 % |
| \nvDash             |        15 |  86.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \pounds             |        15 |  80.0 % |  80.0 % |  80.0 % |  86.7 % |  86.7 % |
| \prime              |        15 |  40.0 % |  73.3 % |  93.3 % |  93.3 % |  93.3 % |
| \rfloor             |        15 |  86.7 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \searrow            |        15 |  93.3 % |  93.3 % |  93.3 % |  93.3 % |  93.3 % |
| \varkappa           |        15 |  46.7 % |  60.0 % |  80.0 % |  86.7 % |  86.7 % |
| \varpi              |        15 |  73.3 % |  86.7 % |  93.3 % |  93.3 % | 100.0 % |
| C                   |        14 |  28.6 % |  64.3 % |  71.4 % |  71.4 % |  71.4 % |
| \Im                 |        14 |  57.1 % |  71.4 % |  71.4 % |  71.4 % |  71.4 % |
| \Vdash              |        14 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \boxdot             |        14 |  64.3 % |  71.4 % |  71.4 % |  71.4 % |  71.4 % |
| \mathscr{D}         |        14 |  64.3 % |  92.9 % |  92.9 % |  92.9 % | 100.0 % |
| \mathscr{F}         |        14 |  35.7 % |  50.0 % |  50.0 % |  50.0 % |  50.0 % |
| \rightrightarrows   |        14 |  71.4 % |  85.7 % |  92.9 % |  92.9 % |  92.9 % |
| \upharpoonright     |        14 |  85.7 % |  92.9 % |  92.9 % | 100.0 % | 100.0 % |
| \venus              |        14 |  42.9 % |  92.9 % |  92.9 % |  92.9 % |  92.9 % |
| 0                   |        13 |  38.5 % |  53.8 % |  76.9 % |  76.9 % |  76.9 % |
| \circledR           |        13 |  76.9 % |  76.9 % |  76.9 % |  76.9 % |  76.9 % |
| \flat               |        13 |  61.5 % |  76.9 % |  84.6 % |  92.3 % |  92.3 % |
| \mapsfrom           |        13 |  76.9 % |  92.3 % |  92.3 % |  92.3 % |  92.3 % |
| \mathcal{X}         |        13 |   7.7 % |  53.8 % |  61.5 % |  61.5 % |  61.5 % |
| \rightleftarrows    |        13 |  92.3 % |  92.3 % |  92.3 % | 100.0 % | 100.0 % |
| -                   |        12 |  16.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| 1                   |        12 |  83.3 % |  83.3 % |  91.7 % |  91.7 % |  91.7 % |
| 2                   |        12 |  91.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| 3                   |        12 |  91.7 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| 8                   |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| <                   |        12 |  66.7 % |  75.0 % |  75.0 % |  75.0 % |  75.0 % |
| G                   |        12 |  83.3 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| M                   |        12 |  91.7 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \circledast         |        12 |  91.7 % |  91.7 % | 100.0 % | 100.0 % | 100.0 % |
| \circledcirc        |        12 |  66.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \diamondsuit        |        12 |  33.3 % |  66.7 % |  91.7 % |  91.7 % |  91.7 % |
| \mathcal{G}         |        12 |  66.7 % |  66.7 % |  66.7 % |  75.0 % |  75.0 % |
| \mathcal{U}         |        12 |  66.7 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \mathfrak{X}        |        12 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathscr{P}         |        12 |  16.7 % |  41.7 % |  41.7 % |  41.7 % |  41.7 % |
| \mp                 |        12 |  83.3 % |  91.7 % |  91.7 % |  91.7 % |  91.7 % |
| \pitchfork          |        12 |  91.7 % |  91.7 % |  91.7 % | 100.0 % | 100.0 % |
| J                   |        11 |  81.8 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| K                   |        11 |  90.9 % |  90.9 % |  90.9 % |  90.9 % |  90.9 % |
| L                   |        11 |  72.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| N                   |        11 |  72.7 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \barwedge           |        11 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
