Service: detexify
Number of symbols: 900
Accuracies:

| Class                     |   Samples |   TOP 1 |   TOP 2 |   TOP 3 |   TOP 4 |   TOP 5 |
| \iiint                    |        21 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Letter                   |        21 |  76.2 % |  90.5 % |  90.5 % |  95.2 % |  95.2 % |
| \textbeta                 |        21 |  52.4 % |  61.9 % |  81.0 % |  85.7 % |  90.5 % |
| \mathcal{H}               |        21 |  66.7 % |  81.0 % |  81.0 % |  95.2 % |  95.2 % |
| \sqcup                    |        20 |  55.0 % |  75.0 % |  90.0 % | 100.0 % | 100.0 % |
| \iddots                   |        20 |   0.0 % |   0.0 % |   0.0 % |   0.0 % |   0.0 % |
| \lozenge                  |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \rightharpoonup           |        20 |  95.0 % |  95.0 % |  95.0 % |  95.0 % |  95.0 % |
| \mathscr{H}               |        20 |  60.0 % |  85.0 % |  95.0 % | 100.0 % | 100.0 % |
| \textchi                  |        20 |   5.0 % |  15.0 % |  30.0 % |  45.0 % |  55.0 % |
| \asymp                    |        20 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \venus                    |        20 |  45.0 % |  50.0 % |  70.0 % |  90.0 % |  95.0 % |
| \Theta                    |        20 |  25.0 % |  30.0 % |  45.0 % |  55.0 % |  55.0 % |
| ]                         |        19 |  84.2 % |  94.7 % | 100.0 % | 100.0 % | 100.0 % |
| \upchi                    |        19 |  26.3 % |  31.6 % |  31.6 % |  42.1 % |  63.2 % |
| \doteq                    |        19 |  21.1 % |  31.6 % |  52.6 % |  63.2 % |  63.2 % |
| \sphericalangle           |        19 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \mathcal{S}               |        19 |  52.6 % |  78.9 % |  89.5 % |  94.7 % | 100.0 % |
| \varoiint                 |        19 |  42.1 % |  89.5 % |  89.5 % |  89.5 % |  89.5 % |
| \textsurd                 |        19 |  31.6 % |  73.7 % |  94.7 % |  94.7 % |  94.7 % |
| \aa                       |        19 |  78.9 % |  84.2 % |  84.2 % |  89.5 % |  89.5 % |
| \textbackslash            |        19 |  57.9 % |  84.2 % |  94.7 % |  94.7 % | 100.0 % |
| \updelta                  |        19 |  26.3 % |  63.2 % |  89.5 % |  89.5 % |  94.7 % |
| \longmapsto               |        19 |  57.9 % |  73.7 % |  84.2 % |  84.2 % |  84.2 % |
| \longrightarrow           |        18 |  11.1 % |  11.1 % |  55.6 % |  72.2 % |  83.3 % |
| \textomega                |        18 |  38.9 % |  72.2 % |  88.9 % |  88.9 % |  88.9 % |
| \mathds{Q}                |        18 |  77.8 % |  77.8 % |  77.8 % |  77.8 % |  83.3 % |
| \mathscr{C}               |        18 |  61.1 % |  77.8 % |  83.3 % |  83.3 % |  83.3 % |
| \copyright                |        18 |  33.3 % |  44.4 % |  72.2 % |  88.9 % |  88.9 % |
| \Lightning                |        18 |  27.8 % |  44.4 % |  61.1 % |  66.7 % |  72.2 % |
| \texttrademark            |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \Upphi                    |        18 |  55.6 % |  66.7 % |  72.2 % |  83.3 % |  94.4 % |
| \textlangle               |        18 |  66.7 % |  94.4 % |  94.4 % | 100.0 % | 100.0 % |
| \female                   |        18 |  27.8 % |  44.4 % |  66.7 % |  72.2 % |  77.8 % |
| \succeq                   |        18 | 100.0 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \textdoublebarslash       |        18 |  83.3 % |  94.4 % |  94.4 % | 100.0 % | 100.0 % |
| \Downarrow                |        18 |  94.4 % | 100.0 % | 100.0 % | 100.0 % | 100.0 % |
| \diamond                  |        18 |  50.0 % |  66.7 % |  77.8 % |  77.8 % |  77.8 % |
